tradingsymbol,name,exchange,instrument_token,exchange_token
MAN50ETINAV,INAV MIRAE ASSET NIFTY 50 E,BSE,50959620,199061
ABSLNN5INAV,INAV ADITYA BIRLASUN LIFE,BSE,50959876,199062
UTISXN5INAV,INAV UTI S&P BSE SENSEX NEX,BSE,50960132,199063
ICICIPBINAV,INAV ICICI PRUDENTIAL BANK,BSE,50960388,199064
SNXT50BINAV,INAV NIPPON INDIA ETF SENSE,BSE,50960644,199065
ICICIBAINAV,INAV ICICI PRUDENTIAL PRIVA,BSE,50960900,199066
ABSLBANINAV,INAV ADITYA BIRLA SUN LIFE,BSE,50961156,199067
EBBET0INAV,,BSE,50961412,199068
EBETF0INAV,,BSE,50961668,199069
ICICIM1INAV,INAV ICICI PRUDENTIAL MIDCA,BSE,50961924,199070
MANXT50INAV,INAV MIRAE ASSET NIFTY NEXT,BSE,50962180,199071
EBBETAINAV,,BSE,50962436,199072
EBBETF0INAV,,BSE,50962692,199073
ICICIALINAV,INAV ICICI PRUDENTIAL ALPH,BSE,50962948,199074
ICICITEINAV,INAV ICICI PRUDENTIAL IT ET,BSE,50963204,199075
HBANKETINAV,INAV HDFC BANKING ETF,BSE,50963460,199076
UTIBANKINAV,INAV UTI BANK EXCHANGE TRAD,BSE,50963716,199077
MAESGETINAV,INAV MIRAE ASSET ESG SECTOR,BSE,50963972,199078
MOGSECINAV,,BSE,50964228,199079
INFRABEINAV,INAV NIPPON INDIA  ETF INFR,BSE,50964484,199080
MAFANGINAV,INAV MIRAE ASSET NYSE FANG+,BSE,50964740,199081
ICICIPHINAV,INAV ICICI PRUDENTIAL HEALT,BSE,50964996,199082
MAFSETFINAV,INAV MIRAE ASSET NIFTY FINA,BSE,50965252,199083
ICICIFMINAV,INAV ICICI PRUDENTIAL FMCG,BSE,50965508,199084
AXISTECINAV,INAV AXIS TECHNOLOGY ETF,BSE,50965764,199085
AXISHETINAV,INAV AXIS HEALTHCARE ETF,BSE,50966020,199086
AXISCETINAV,INAV AXIS CONSUMPTION ETF,BSE,50966276,199087
MASPTOPINAV,INAV MIRAE ASSET S&P 500 TO,BSE,50966532,199088
ICICICOINAV,INAV ICICI PRUDENTIAL CONSU,BSE,50966788,199089
DSPNEWEINAV,INAV DSP NIFTY 50 EQUAL WEI,BSE,50967044,199090
MAHKTECINAV,INAV MIRAE ASSET HANG SENG,BSE,50967300,199091
BBETF04INAV,,BSE,50967556,199092
MONQ50INAV,INAV MOTILAL OSWAL NASDAQ Q,BSE,50967812,199093
DSPQ50EINAV,INAV DSP NIFTY MIDCAP 150 Q,BSE,50968068,199094
DSPN50INAV,INAV DSP NIFTY 50 ETF,BSE,50968324,199095
ICICIAUINAV,INAVICICI PRUDENTIALNIFTY,BSE,50968580,199096
MAMFGETINAV,INAV MIRAE ASSET NIFTY INDI,BSE,50968836,199097
MOMOMENINAV,INAV MOTILAL OSWAL NIFTY 20,BSE,50969092,199098
TECHINAV,INAV ADITYA BIRLA SUNLIFE N,BSE,50969348,199099
HEALTHYINAV,INAV ADITYA BIRLA SUNLIFE,BSE,50969604,199100
BSLNIFTINAV,INAV ADITYABIRLA SUN LIFE,BSE,50969860,199101
ICICI5GINAV,,BSE,50970116,199102
MAM150EINAV,INAV MIRAE ASSET NIFTY MIDC,BSE,50970372,199103
MOLOWVOINAV,INAV MOTILAL OSWAL S&P BSE,BSE,50970628,199104
ICICSENNAV,INAV ICICI PRUDENTIAL SENSE,BSE,50970884,199105
LIQUIDBINAV,,BSE,50971140,199106
NIFTYBEINAV,INAV NIPPONINDIA ETF NIFTY,BSE,50971396,199107
JUNIORBINAV,INAV NIPPON INDIA ETF JUNIO,BSE,50971652,199108
BANKBEEINAV,INAV NIPPON INDIA ETF BANK,BSE,50971908,199109
KOTAKPSINAV,INAV KOTAK PSU BK ETF,BSE,50972164,199110
PSUBNKBINAV,INAV NIPPON INDIA ETF PSU B,BSE,50972420,199111
SHARIABINAV,INAV NIPPON INDIA ETF SHARI,BSE,50972676,199112
QNIFTYINAV,INAV QUANTUM INDX ETF,BSE,50972932,199113
MOM50INAV,INAV MOTILAL OSWAL M50 ETF,BSE,50973188,199114
KOTAKBKINAV,INAV KOTAK BANKING ETF - DI,BSE,50973444,199115
SETFNIFINAV,INAV SBI-ETF NIFTY BANK,BSE,50973700,199116
SETFN50INAV,INAV SBI-ETF NIFTY 50,BSE,50973956,199117
MOHEALTINAV,INAVMOTILALOSWS&PBSEHEALTHCETF,BSE,50974212,199118
ICMOM30INAV,INAVICICIPRUNI200MOMETF,BSE,50974468,199119
HDFF100INAV,INAVHDFC NIFTY 100 ETF,BSE,50974724,199120
HDFNX50INAV,INAV HDFC NIFTY NEXT 50 ETF,BSE,50974980,199121
ICICINFNAV,INAV ICICI PRU NIFTY INFRA ETF,BSE,50975236,199122
DSPSILINAV,INAVDSPSILVERETF,BSE,50975492,199123
NIFQTYINAV,INAV ABSL NIFTY 200 QTY 30 ETF,BSE,50975748,199124
MOM30INAV,INAV ABSL NIFTY 200 MOM 30 ETF,BSE,50976004,199125
MOQUALTINAV,INAV MO S&P BSE QUALITY ETF,BSE,50976260,199126
MOVALUEINAV,INAV MO S&P BSE EN VALUE ETF,BSE,50976516,199127
HDFCSIINAV,INAVHDFCSILVERETF,BSE,50976772,199128
HDFQUALINAV,INAVHDFCQUALETF,BSE,50977028,199129
HDFGROWINAV,INAVHDFCGROWETF,BSE,50977284,199130
HDFVALUINAV,INAV HDFCVALUEETF,BSE,50977540,199131
HDFMOMEINAV,INAVHDFCMOMENT,BSE,50977796,199132
HDFCLOLINAV,INAVHDFCLOWVOL,BSE,50978052,199133
HDFCBANINAV,INAVHDFCPVTBAN,BSE,50978308,199134
HDFCNITINAV,INAVHDFCNIFIT,BSE,50978564,199135
ICICINAV,INAVICICI PRUDENTIAL MUTUAL,BSE,50978820,199136
EBBEINAV,,BSE,50979076,199137
ICIC01INAV,,BSE,50979332,199138
ICIC02INAV,INAVICICI PRUDENTIAL MUTUAL 02,BSE,50979588,199139
DSPBINAV,INAVDSP MUTUAL FUND,BSE,50979844,199140
HDFCINAV,INAVHDFC MUTUAL FUND,BSE,50980100,199141
HDFC01INAV,INAVHDFC MUTUAL FUND01,BSE,50980356,199142
HDFC02INAV,INAVHDFC MUTUAL FUND02,BSE,50980612,199143
MAGOINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50980868,199144
PSUBINAV,INAVICICI PRUDENTIAL MUTUAL,BSE,50981124,199145
ABSLINAV,,BSE,50981380,199146
AXISINAV,INAVAXIS MUTUAL FUND,BSE,50981636,199147
MANVINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50981892,199148
MAGSINAV,,BSE,50982148,199149
SILVINAV,INAVUTI MUTUAL FUND,BSE,50982404,199150
DSPGINAV,INAVDSP MUTUAL FUND,BSE,50982660,199151
MASIINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50982916,199152
DSPIINAV,INAVDSP MUTUAL FUND,BSE,50983172,199153
BANKINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50983428,199154
LIQUINAV,,BSE,50983684,199155
DSPPINAV,INAVDSP MUTUAL FUND,BSE,50983940,199156
DSPSINAV,INAVDSP MUTUAL FUND,BSE,50984196,199157
DSPP01INAV,INAVDSP MUTUAL FUND01,BSE,50984452,199158
ICIC03INAV,INAVICICI PRUDENTIAL MUTUAL 03,BSE,50984708,199159
HDFC03INAV,,BSE,50984964,199160
NIFMINAV,INAVUTI MUTUAL FUND,BSE,50985220,199161
NAVIINAV,INAVNAVI MUTUAL FUND,BSE,50985476,199162
SENSINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50985732,199163
ALPHINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50985988,199164
ITETINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50986244,199165
LIQU01INAV,,BSE,50986500,199166
BBNPINAV,INAVBARODA BNP PARIBAS MUTUA,BSE,50986756,199167
LIQU02INAV,,BSE,50987012,199168
BANK01INAV,INAVBAJAJ FINSERV MUTUAL FUN01,BSE,50987268,199169
NIFTINAV,INAVBAJAJ FINSERV MUTUAL FUN,BSE,50987524,199170
NIFIINAV,INAVUTI MUTUAL FUND,BSE,50987780,199171
NIF1INAV,,BSE,50988036,199172
NIF5INAV,,BSE,50988292,199173
HEALINAV,INAVDSP MUTUAL FUND,BSE,50988548,199174
HDFC04INAV,INAVHDFC MUTUAL FUND04,BSE,50988804,199175
LICNINAV,INAVLIC MUTUAL FUND,BSE,50989060,199176
SMALINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50989316,199177
GOLDINAV,INAVZERODHA MUTUAL FUND,BSE,50989572,199178
LIQU03INAV,,BSE,50989828,199179
MIDSINAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50990084,199180
LIQU04INAV,,BSE,50990340,199181
TOP1INAV,INAVZERODHA MUTUAL FUND,BSE,50990596,199182
MID1INAV,INAVZERODHA MUTUAL FUND,BSE,50990852,199183
BBNP01INAV,INAVBARODA BNP PARIBAS MUTUA01,BSE,50991108,199184
SBISINAV,INAVSBI MUTUAL FUND,BSE,50991364,199185
LIQU05INAV,,BSE,50991620,199186
ABGSINAV,,BSE,50991876,199187
EVININAV,INAVMIRAE ASSET MUTUAL FUND,BSE,50992132,199188
SBININAV,INAVSBI MUTUAL FUND,BSE,50992388,199189
OILIINAV,INAVICICI PRUDENTIAL MUTUAL,BSE,50992644,199190
ABSL01INAV,INAVADITYA BIRLA SUN LIFE MU01,BSE,50992900,199191
GSECINAV,,BSE,50993156,199192
METAINAV,INAVICICI PRUDENTIAL MUTUAL,BSE,50993412,199193
ABB,ABB INDIA,BSE,128000516,500002
AEGISLOG,AEGIS LOGISTICS,BSE,128000772,500003
ARE&M,AMARA RAJA ENERGY & MOBILITY L,BSE,128002052,500008
AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,BSE,128002308,500009
ANDHRAPET,ANDHRA PETROCHEMICALS,BSE,128003076,500012
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,BSE,128003332,500013
UTIQUE,UTIQUE ENTERPRISES,BSE,128003588,500014
ARUNAHTEL,ARUNA HOTELS,BSE,128004100,500016
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,BSE,128005124,500020
ASIANHOTNR,ASIAN HOTELS (NORTH),BSE,128005892,500023
ATUL,ATUL,BSE,128006916,500027
ATVPR,ATV PROJECTS INDIA,BSE,128007172,500028
BAJAJELEC,BAJAJ ELECTRICALS,BSE,128007940,500031
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR,BSE,128008196,500032
FORCEMOT,FORCE MOTORS,BSE,128008452,500033
BAJFINANCE,BAJAJ FINANCE,BSE,128008708,500034
BALRAMCHIN,BALRAMPUR CHINI MILLS,BSE,128009732,500038
BANCOINDIA,BANCO PRODUCTS (INDIA),BSE,128009988,500039
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES,BSE,128010244,500040
BANARISUG,BANNARI AMMAN SUGARS,BSE,128010500,500041
BASF,BASF INDIA,BSE,128010756,500042
BATAINDIA,BATA INDIA,BSE,128011012,500043
BEML,BEML,BSE,128012292,500048
BEL,BHARAT ELECTRONICS,BSE,128012548,500049
BEPL,BHANSALI ENGINEERING POLYMERS,BSE,128013316,500052
BIHSPONG,BIHAR SPONGE IRON,BSE,128014852,500058
BINANIIND,BINANI INDUSTRIES,BSE,128015108,500059
BIRLACABLE,BIRLA CABLE ,BSE,128015364,500060
BLUESTARCO,BLUE STAR,BSE,128017156,500067
DISAQ,DISA INDIA,BSE,128017412,500068
QUESTCAP,QUEST CAPITAL MARKETS,BSE,128017668,500069
BPL,BPL,BSE,128018948,500074
OAL,ORIENTAL AROMATICS,BSE,128019972,500078
CENTEXT,CENTURY EXTRUSIONS,BSE,128021252,500083
CESC,CESC,BSE,128021508,500084
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,BSE,128021764,500085
EXIDEIND,EXIDE INDUSTRIES,BSE,128022020,500086
CIPLA,CIPLA,BSE,128022276,500087
DICIND,DIC INDIA,BSE,128022788,500089
CRISIL,CRISIL,BSE,128023556,500092
CGPOWER,CG POWER AND INDUSTRIAL SOLUTI,BSE,128023812,500093
DABUR,DABUR INDIA,BSE,128024580,500096
DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,BSE,128024836,500097
ARVIND,ARVIND,BSE,128025860,500101
BHEL,BHARAT HEAVY ELECTRICALS,BSE,128026372,500103
HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,BSE,128026628,500104
IFCI,IFCI,BSE,128027140,500106
MTNL,MAHANAGAR TELEPHONE NIGAM,BSE,128027652,500108
MRPL,MANGALORE REFINERY & PETROCHEM,BSE,128027908,500109
CHENNPETRO,CHENNAI PETROLEUM CORPORATION,BSE,128028164,500110
SBIN,STATE BANK OF INDIA,BSE,128028676,500112
SAIL,STEEL AUTHORITY OF INDIA,BSE,128028932,500113
TITAN,TITAN COMPANY,BSE,128029188,500114
IDBI,IDBI BANK,BSE,128029700,500116
DCW,DCW,BSE,128029956,500117
DHAMPURSUG,DHAMPUR SUGAR MILLS,BSE,128030468,500119
DIAMINESQ,DIAMINES & CHEMICALS,BSE,128030724,500120
ELANTAS,ELANTAS BECK INDIA,BSE,128031492,500123
DRREDDY,DR.REDDYS LABORATORIES,BSE,128031748,500124
EIDPARRY,E.I.D.-PARRY (INDIA),BSE,128032004,500125
PGHL,PROCTER & GAMBLE HEALTH LIMITE,BSE,128032260,500126
ELECTCAST,ELECTROSTEEL CASTINGS,BSE,128032772,500128
ESABINDIA,ESAB INDIA,BSE,128034052,500133
EPL,EPL,BSE,128034564,500135
ESTER,ESTER INDUSTRIES,BSE,128034820,500136
FGP,FGP,BSE,128036356,500142
PHCAP,PH CAPITAL,BSE,128036612,500143
FINCABLES,FINOLEX CABLES,BSE,128036868,500144
COCKERILL,JOHN COCKERILL INDIA,BSE,128037636,500147
UFLEX,UFLEX,BSE,128037892,500148
FOSECOIND,FOSECO INDIA,BSE,128038404,500150
GOLDENTOBC,GOLDEN TOBACCO,BSE,128038660,500151
GANESHBE,GANESH BENZOPLAST,BSE,128039172,500153
METROGLOBL,METROGLOBAL,BSE,128040708,500159
GTL,GTL,BSE,128040964,500160
GODFRYPHLP,GODFREY PHILLIPS INDIA,BSE,128041732,500163
GODREJIND,GODREJ INDUSTRIES,BSE,128041988,500164
KANSAINER,KANSAI NEROLAC PAINTS,BSE,128042244,500165
GOODRICKE,GOODRICKE GROUP,BSE,128042500,500166
GOODYEAR,GOODYEAR INDIA,BSE,128043012,500168
GTNINDS,GTN INDUSTRIES,BSE,128043524,500170
GHCL,GHCL,BSE,128043780,500171
GFLLIMITED,GFL,BSE,128044292,500173
GLFL,GUJARAT LEASE FINANCING,BSE,128044548,500174
HCL-INSYS,HCL INFOSYSTEMS,BSE,128045828,500179
HDFCBANK,HDFC BANK,BSE,128046084,500180
HEROMOTOCO,HERO MOTOCORP,BSE,128046596,500182
HFCL,HFCL,BSE,128046852,500183
HSCL,HIMADRI SPECIALITY CHEMICAL LT,BSE,128047108,500184
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,BSE,128047364,500185
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,BSE,128047620,500186
AGI,AGI GREENPAC,BSE,128047876,500187
HINDZINC,HINDUSTAN ZINC,BSE,128048132,500188
NDLVENTURE,NDL VENTURES ,BSE,128048388,500189
HMT,HMT,BSE,128048900,500191
PRAGBOS,PRAG BOSIMI SYNTHETICS,BSE,128049156,500192
HLVLTD,HLV,BSE,128049412,500193
IGPL,I G PETROCHEMICALS,BSE,128050948,500199
INDIAGLYCO,INDIA GLYCOLS,BSE,128051460,500201
INDLEASE,INDIA LEASE DEVELOPMENT,BSE,128051716,500202
MARGOFIN,MARGO FINANCE,BSE,128052740,500206
INDORAMA,INDO RAMA SYNTHETICS (INDIA) L,BSE,128052996,500207
INFY,INFOSYS,BSE,128053508,500209
INGERRAND,INGERSOLL-RAND (INDIA),BSE,128053764,500210
ITHL,INTERNATIONAL TRAVEL HOUSE,BSE,128054532,500213
IONEXCHANG,ION EXCHANGE (INDIA),BSE,128054788,500214
ATFL,AGRO TECH FOODS,BSE,128055044,500215
JISLJALEQS,JAIN IRRIGATION SYSTEMS,BSE,128056068,500219
JASCH,JASCH INDUSTRIES,BSE,128056324,500220
JCTLTD,JCT,BSE,128057092,500223
JINDALPOLY,JINDAL POLY FILMS,BSE,128058116,500227
JSWSTEEL,JSW STEEL,BSE,128058372,500228
UMANGDAIRY,UMANG DAIRIES,BSE,128059140,500231
KAJARIACER,KAJARIA CERAMICS,BSE,128059652,500233
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUST,BSE,128059908,500234
KSL,KALYANI STEELS,BSE,128060164,500235
KANELIND,KANEL INDUSTRIES,BSE,128060420,500236
WHIRLPOOL,WHIRLPOOL OF INDIA,BSE,128060932,500238
KGDENIM,KG DENIM,BSE,128061188,500239
KINETICENG,KINETIC ENGINEERING,BSE,128061444,500240
KIRLOSBROS,KIRLOSKAR BROTHERS,BSE,128061700,500241
KIRLOSIND,KIRLOSKAR INDUSTRIES,BSE,128062212,500243
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L,BSE,128062724,500245
ENVAIREL,ENVAIR ELECTRODYNE,BSE,128062980,500246
KOTAKBANK,KOTAK MAHINDRA BANK,BSE,128063236,500247
KRIFILIND,KRISHNA FILAMENT INDUSTRIES LI,BSE,128063492,500248
KSB,KSB,BSE,128063748,500249
LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,BSE,128064004,500250
TRENT,TRENT,BSE,128064260,500251
LAXMIMACH,LAKSHMI MACHINE WORKS,BSE,128064516,500252
LICHSGFIN,LIC HOUSING FINANCE,BSE,128064772,500253
LUPIN,LUPIN,BSE,128065796,500257
LYKALABS,LYKA LABS,BSE,128066308,500259
RAMCOCEM,THE RAMCO CEMENTS,BSE,128066564,500260
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMI,BSE,128067076,500262
MAFATIND,MAFATLAL INDUSTRIES,BSE,128067588,500264
MAHSEAMLES,MAHARASHTRA SEAMLESS,BSE,128067844,500265
MAHSCOOTER,MAHARASHTRA SCOOTERS,BSE,128068100,500266
MAJESAUT,MAJESTIC AUTO,BSE,128068356,500267
MANALIPETC,MANALI PETROCHEMICAL,BSE,128068612,500268
BARODARY,BARODA RAYON CORPORATION,BSE,128069124,500270
MFSL,MAX FINANCIAL SERVICES ,BSE,128069380,500271
MIDINDIA,MID INDIA INDUSTRIES,BSE,128070916,500277
MIRCELECTR,MIRC ELECTRONICS,BSE,128071428,500279
CENTENKA,CENTURY ENKA,BSE,128071684,500280
MODTHREAD,MODERN THREADS (INDIA),BSE,128072196,500282
LORDSCHLO,LORDS CHLORO ALKALI,BSE,128072708,500284
SPICEJET,SPICEJET,BSE,128072964,500285
MOREPENLAB,MOREPEN LABORATORIES,BSE,128073732,500288
MRF,MRF,BSE,128074244,500290
HEIDELBERG,HEIDELBERGCEMENT INDIA,BSE,128074756,500292
NCC,NCC,BSE,128075268,500294
VEDL,VEDANTA,BSE,128075524,500295
NAHARSPING,NAHAR SPINNING MILLS,BSE,128075780,500296
NAPEROL,NAPEROL INVESTMENTS ,BSE,128076292,500298
GRASIM,GRASIM INDUSTRIES,BSE,128076804,500300
PEL,PIRAMAL ENTERPRISES,BSE,128077316,500302
NIITLTD,NIIT,BSE,128077828,500304
JAYKAY,JAYKAY ENTERPRISES ,BSE,128078340,500306
NIRLON,NIRLON,BSE,128078596,500307
ONGC,OIL AND NATURAL GAS CORPORATIO,BSE,128079876,500312
OILCOUNTUB,OIL COUNTRY TUBULAR,BSE,128080132,500313
ORIENTHOT,ORIENTAL HOTELS,BSE,128080388,500314
OSWALAGRO,OSWAL AGRO MILLS,BSE,128081156,500317
INDSUCR,INDIAN SUCROSE,BSE,128081668,500319
PANCM,PANYAM CEMENTS & MINERAL INDUS,BSE,128082436,500322
RELIANCE,RELIANCE INDUSTRIES,BSE,128083204,500325
PILITA,PIL ITALICA LIFESTYLE ,BSE,128083716,500327
RAYMOND,RAYMOND,BSE,128084484,500330
PIDILITIND,PIDILITE INDUSTRIES,BSE,128084740,500331
PIXTRANS,PIX TRANSMISSIONS,BSE,128085252,500333
BIRLACORPN,BIRLA CORPORATION,BSE,128085764,500335
SURYAROSNI,SURYA ROSHNI,BSE,128086020,500336
PRIMESECU,PRIME SECURITIES,BSE,128086276,500337
PRSMJOHNSN,PRISM JOHNSON,BSE,128086532,500338
RAIN,RAIN INDUSTRIES,BSE,128086788,500339
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION L,BSE,128087556,500342
AMJLAND,AMJ LAND HOLDINGS,BSE,128087812,500343
PUNJCOMMU,PUNJAB COMMUNICATIONS,BSE,128088580,500346
RSWM,RSWM,BSE,128089604,500350
RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LT,BSE,128090628,500354
RALLIS,RALLIS INDIA,BSE,128090884,500355
RAMANEWS,SHREE RAMA NEWSPRINT,BSE,128091140,500356
RAMAPPR-B,RAMA PAPER MILLS,BSE,128091396,500357
RAMAPETRO,RAMA PETROCHEMICALS,BSE,128091652,500358
RAPICUT,RAPICUT CARBIDES,BSE,128092164,500360
WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LI,BSE,128093444,500365
ROLTA,ROLTA INDIA,BSE,128093700,500366
RUBFILA,RUBFILA INTERNATIONAL,BSE,128093956,500367
PATANJALI,PATANJALI FOODS ,BSE,128094212,500368
SALORAINTL,SALORA INTERNATIONAL,BSE,128094724,500370
JINDALSAW,JINDAL SAW,BSE,128096772,500378
JKLAKSHMI,JK LAKSHMI CEMENT,BSE,128097284,500380
SHREECEM,SHREE CEMENT,BSE,128099076,500387
SKPMIL,SHREE KRISHNA PAPER MILLS & IN,BSE,128099332,500388
SILVERLINE,SILVERLINE TECHNOLOGIES,BSE,128099588,500389
RELINFRA,RELIANCE INFRASTRUCTURE,BSE,128099844,500390
TATAPOWER,TATA POWER CO.LTD.,BSE,128102404,500400
SPMLINFRA,SPML INFRA,BSE,128102916,500402
SUNDRMFAST,SUNDRAM FASTENERS,BSE,128103172,500403
SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,BSE,128103428,500404
SPLPETRO,SUPREME PETROCHEM,BSE,128103684,500405
SWARAJENG,SWARAJ ENGINES,BSE,128104196,500407
TATAELXSI,TATA ELXSI,BSE,128104452,500408
ACC,ACC,BSE,128104964,500410
THERMAX,THERMAX,BSE,128105220,500411
TIRUMALCHM,THIRUMALAI CHEMICALS,BSE,128105476,500412
THOMASCOOK,THOMAS COOK (INDIA),BSE,128105732,500413
TIMEX,TIMEX GROUP INDIA,BSE,128105988,500414
TOKYOPLAST,TOKYO PLAST INTERNATIONAL,BSE,128107012,500418
TORNTPHARM,TORRENT PHARMACEUTICALS,BSE,128107524,500420
TPINDIA,TPI INDIA,BSE,128107780,500421
TRANSCHEM,TRANSCHEM,BSE,128108036,500422
AMBUJACEM,AMBUJA CEMENTS,BSE,128108804,500425
UTLINDS,UTL INDUSTRIES,BSE,128109060,500426
UNIENTER,UNIPHOS ENTERPRISES,BSE,128109828,500429
VHL,VARDHMAN HOLDINGS,BSE,128112388,500439
HINDALCO,HINDALCO INDUSTRIES,BSE,128112644,500440
WSTCSTPAPR,WEST COAST PAPER MILLS ,BSE,128113668,500444
HOCL,HINDUSTAN ORGANIC CHEMICALS LT,BSE,128114948,500449
MPILCORPL,MPIL CORPORATION,BSE,128115204,500450
PASUPTAC,PASUPATI ACRYLON,BSE,128116740,500456
KORE,KORE FOODS ,BSE,128117252,500458
PGHH,PROCTER & GAMBLE HYGIENE & HEA,BSE,128117508,500459
MUKANDLTD,MUKAND,BSE,128117764,500460
BBOX,BLACK BOX,BSE,128118532,500463
UCAL,UCAL,BSE,128118788,500464
HARRMALAYA,HARRISONS MALAYALAM,BSE,128119556,500467
FEDERALBNK,FEDERAL BANK,BSE,128120068,500469
TATASTEEL,TATA STEEL,BSE,128120324,500470
SKFINDIA,SKF INDIA,BSE,128120836,500472
ASHOKLEY,ASHOK LEYLAND,BSE,128122116,500477
